Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
bizarre,DE,170,11,85.31.187.225,anonymizer.cakelab.org,1443,81,0,1,1,1,0,1,1,1,1,Tor 0.2.2.14-alpha-dev (git-9d5d0f040f9b0ddf) on Linux i686,0,0
Blackbird,US,14,1,98.116.27.171,pool-98-116-27-171.nycmny.east.verizon.net,9001,None,0,1,1,0,0,1,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
blackhole,PL,6,3,87.105.53.88,static-87-105-53-88.ssp.dialog.net.pl,9001,None,0,1,1,0,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
blackpat,DE,0,0,85.178.243.223,e178243223.adsl.alicedsl.de,443,None,0,1,1,0,1,0,1,1,0,Tor 0.2.1.21 on Very recent version of Windows [major=6-minor=1]  [workstation] {terminal services- single user},0,0
blacksmithtb,US,3,8,24.21.69.79,c-24-21-69-79.hsd1.or.comcast.net,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.2.16-alpha (git-04ed53b25b260ea7) on Linux x86_64,0,0
BlackWater,US,71,1,71.236.187.147,c-71-236-187-147.hsd1.or.comcast.net,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.1.26 on Linux x86_64,0,0
blahblahblah,US,1062,71,128.208.6.19,smtp.dyn.cs.washington.edu,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
BletchleyBark,N/A,2,0,173.195.0.146,146.0.195.173.client.dyn.strong-in28.reliablehosting.com,9001,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.26 on Darwin i386,0,0
blindoracleredrose,RU,479,52,194.190.16.51,194.190.16.51,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
BlingBlingServer,DE,73,10,62.75.145.182,vs1145182.vserver.de,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
Blowfish,US,4,1,24.89.45.8,24.89.45.8,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.1.22 on Windows 'Longhorn' Service Pack 2 [workstation] {personal} {terminal services- single user},0,0
blu3sky,US,5,156,75.101.88.196,75-101-88-196.dsl2dy.lmi.net,448,None,0,1,1,0,1,1,1,1,0,Tor 0.2.1.23 on Windows 2000 Service Pack 4 [server] {enterprise} {terminal services- single user} {terminal services},0,0
